"name","month","price","measure","category","inflation_dynamic","inflation"
"вироби з м’яса делікатесні","2021-10-01",252.88,"Q1","ковбасні вироби",99.84,102.6
"оселедці","2021-10-01",149.444444444444,"Q1","риба та морепродукти",104.3,98.1
"скумбрія копчена","2021-10-01",232.04,"Q1","риба та морепродукти",112,118
"морепродукти","2021-10-01",197.15,"Q1","риба та морепродукти",107.8,88
"ікра червона","2021-10-01",1165.4375,"Q1","риба та морепродукти",86,92
"риба морожена","2021-10-01",71.5,"Q1","риба та морепродукти",100,120
"філе мороженої риби","2021-10-01",136.471428571429,"Q1","риба та морепродукти",100,105.7
"броколі заморожена","2021-10-01",74.75,"Q1","овочі заморожені",100,82
"сіль","2021-10-01",28.12,"Q1","соуси та спеції",100.94,100
"мед","2021-10-01",170.475,"Q1","солодощі",106.7,113
"крупи гречані","2021-10-01",50.2,"Q1","бакалея",100.36,99.23
"рис","2021-10-01",40.57,"Q1","бакалея",82,98.1
"крупи манні","2021-10-01",19.225,"Q1","бакалея",100.39,100.2
"пластівці вівсяні","2021-10-01",34.58,"Q1","бакалея",100.96,125
"пшоно","2021-10-01",19.955,"Q1","бакалея",97.8,102.3
"квасоля","2021-10-01",90,"Q1","бакалея",101.8,99.81
"крупи ячні","2021-10-01",17.818125,"Q1","бакалея",100,97.4
"макарони","2021-10-01",48.275,"Q1","бакалея",100,88
"борошно пшеничне","2021-10-01",15.4444444444444,"Q1","бакалея",90.3,100
"цукор","2021-10-01",27.975,"Q1","бакалея",102.8,99.911
"ром","2021-10-01",402.74,"Q1","алкоголь",100.0034,115
"супи","2021-10-01",198.5,"Q1","бакалея",96,99.35
"пиво","2021-10-01",37.45,"Q1","алкоголь",88,102.8
"горілка","2021-10-01",180,"Q1","алкоголь",97.8,97.8
"вино червоне сухе","2021-10-01",146.666666666667,"Q1","алкоголь",92.4,104.1
"вино біле сухе","2021-10-01",152.2,"Q1","алкоголь",100.46,105.8
"віскі","2021-10-01",570,"Q1","алкоголь",112,105
"коньяк","2021-10-01",303.82,"Q1","алкоголь",99.12,99.29
"майонез","2021-10-01",75,"Q1","соуси та спеції",104.7,100.26
"паста томатна","2021-10-01",65.0942028985507,"Q1","соуси та спеції",121,114
"кетчуп томатний","2021-10-01",46.325,"Q1","соуси та спеції",103.5,100.71
"олія соняшникова","2021-10-01",67.764705882353,"Q1","олія",107.6,99.1
"олія оливкова","2021-10-01",340.55,"Q1","олія",103.8,103.6
"консерви рибні в олії","2021-10-01",232.608695652174,"Q1","риба та морепродукти",108.4,101.7
"кукурудза консервована","2021-10-01",87.625,"Q1","консервовані овочі і гриби",106.4,103.9
"горошок консервований","2021-10-01",66.0975609756098,"Q1","консервовані овочі і гриби",112,102.8
"гриби консервовані","2021-10-01",109.68152866242,"Q1","консервовані овочі і гриби",93.3,97.7
"карамель","2021-10-01",71.335,"Q1","солодощі",94.3,101.5
"зефір","2021-10-01",113.69,"Q1","солодощі",107,107
"цукерки шоколадні","2021-10-01",369.382352941177,"Q1","солодощі",111,119
"печиво здобне","2021-10-01",104.828571428571,"Q1","солодощі",100,97.5
"вафлі","2021-10-01",122.114285714286,"Q1","солодощі",100.29,100.27
"печиво затяжне","2021-10-01",66,"Q1","солодощі",88,90.3
"сік апельсиновий","2021-10-01",34.6315789473684,"Q1","безалкогольні напої",89,82
"сік яблучний","2021-10-01",25.8947368421053,"Q1","безалкогольні напої",107.4,112
"шампанське","2021-10-01",145.933333333333,"Q1","алкоголь",99.59,70
"кава мелена","2021-10-01",290.6,"Q1","кава і чай",103.9,104.6
"кава розчинна","2021-10-01",836.26052631579,"Q1","кава і чай",99.04,100.16
"чай у пакетиках","2021-10-01",568.8,"Q1","кава і чай",100,99.2
"солодка вода","2021-10-01",13.9,"Q1","безалкогольні напої",96.5,115
"сигарети з фільтром медіум класу","2021-10-01",59.375,"Q1","сигарети",100.64,101.1
"сигарети з фільтром преміум класу","2021-10-01",62.5,"Q1","сигарети",98.4,100
"молочні суміші для дитячого харчування","2021-10-01",574.0625,"Q1","молочна продукція та яйця",100,108.4
"кабачки","2021-10-01",22.9,"Q1","овочі",42,136
"огірки","2021-10-01",35.1,"Q1","овочі",117,160
"вирізка яловича","2021-10-01",477.025,"Q1","м’ясо",112,87
"батон","2021-11-01",45.7825,"Q1","хліб",100,117
