"","name","month","value","measure","mode","inflation","category"
"1928","сметана з підвищеним вмістом жиру",2022-01-01,108.405797101449,"median",0.35,3.2,"молочна продукція та яйця"
"1929","йогурт",2022-01-01,NA,"median",0.115,NA,"молочна продукція та яйця"
"1930","морозиво",2022-01-01,249.75,"median",0.07,3.4,"солодощі"
"1931","кефір 2.5%",2022-01-01,38.1111111111111,"median",0.9,1.5,"молочна продукція та яйця"
"1932","масло вершкове 82%",2022-01-01,326.5,"median",0.2,3.8,"молочна продукція та яйця"
"1933","масло вершкове 73%",2022-01-01,262.5,"median",0.2,0.29,"молочна продукція та яйця"
"1934","маргарин",2022-01-01,89.6,"median",0.25,3.4,"молочна продукція та яйця"
"1935","яйця",2022-01-01,51.9,"median",1,9.5,"молочна продукція та яйця"
"1936","філе куряче",2022-01-01,150.7,"median",1,1.5,"м’ясо"
"1937","свинина",2022-01-01,175.95,"median",1,9.3,"м’ясо"
"1938","вирізка свиняча",2022-01-01,182.9,"median",1,0,"м’ясо"
"1939","свинина фарш",2022-01-01,110.95,"median",1,0,"м’ясо"
"1940","свинина ребра",2022-01-01,120.95,"median",1,7.1,"м’ясо"
"1941","субпродукти свинячі",2022-01-01,39.9,"median",1,0,"м’ясо"
"1942","яловичина",2022-01-01,247.45,"median",1,-31,"м’ясо"
"1943","яловичина фарш",2022-01-01,164.815,"median",1,-2.4,"м’ясо"
"1944","субпродукти яловичні",2022-01-01,46.09,"median",1,-5.1,"м’ясо"
"1945","свинина гуляш",2022-01-01,120.95,"median",1,14,"м’ясо"
"1946","сало",2022-01-01,211.116666666667,"median",1,32,"м’ясо"
"1947","яловичина ребра",2022-01-01,146.95,"median",1,7.3,"м’ясо"
"1948","вирізка яловича",2022-01-01,561.29,"median",1,8.1,"м’ясо"
"1949","риба червона",2022-01-01,414.9,"median",1,-12,"риба та морепродукти"
"1950","риба річна",2022-01-01,117.95,"median",1,-0.042,"риба та морепродукти"
"1951","сосиски, сардельки вищого ґатунку",2022-01-01,202.848484848485,"median",1,-0.17,"ковбасні вироби"
"1952","ковбаси сирокопчені в/ґ",2022-01-01,453.75,"median",1,-4.4,"ковбасні вироби"
